Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Entropy 4-grams	Chi^2 4-grams	Size	Termination	File Command
8.11673	413.5	8.33461	945	8.52246	715	752	png	PNG image data, 60 x 72, 8-bit/color RGBA, non-interlaced
8.11673	413.5	8.33461	945	8.52246	715	752	png	PNG image data, 60 x 72, 8-bit/color RGBA, non-interlaced
8.11673	413.5	8.33461	945	8.52246	715	752	png	PNG image data, 60 x 72, 8-bit/color RGBA, non-interlaced
8.11673	413.5	8.33461	945	8.52246	715	752	png	PNG image data, 60 x 72, 8-bit/color RGBA, non-interlaced
7.77719	410	7.92541	270	8.03317	215	423	png	PNG image data, 21 x 21, 8-bit/color RGBA, non-interlaced
7.77719	410	7.92541	270	8.03317	215	423	png	PNG image data, 21 x 21, 8-bit/color RGBA, non-interlaced
7.77719	410	7.92541	270	8.03317	215	423	png	PNG image data, 21 x 21, 8-bit/color RGBA, non-interlaced
7.77719	410	7.92541	270	8.03317	215	423	png	PNG image data, 21 x 21, 8-bit/color RGBA, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.7576	409	7.88427	264	8.05316	184	407	png	PNG image data, 24 x 24, 8-bit gray+alpha, non-interlaced
7.76532	408	7.83031	381	7.98392	228	415	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.76532	408	7.83031	381	7.98392	228	415	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.76532	408	7.83031	381	7.98392	228	415	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.76532	408	7.83031	381	7.98392	228	415	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.76532	408	7.83031	381	7.98392	228	415	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.76532	408	7.83031	381	7.98392	228	415	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.76532	408	7.83031	381	7.98392	228	415	png	PNG image data, 48 x 48, 8-bit gray+alpha, non-interlaced
7.80332	407	7.83899	382	7.99831	236	421	png	PNG image data, 66 x 26, 8-bit/color RGBA, non-interlaced
7.80332	407	7.83899	382	7.99831	236	421	png	PNG image data, 66 x 26, 8-bit/color RGBA, non-interlaced
