Entropy 2-grams	Chi^2 2-grams	Entropy 3-grams	Chi^2 3-grams	Size	Termination	File Command	10.3887524951	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016	-13818.5100000016
15.3956	101226	16.4886	6042	92963	aar	Zip archive data, at least v2.0 to extract									
15.3971	100645	16.489	6051	92962	aar	Zip archive data, at least v2.0 to extract									
15.7849	99680.7	17.8925	10261	247244	aar	Zip archive data, at least v2.0 to extract									
15.7852	99544	17.8925	10064	247245	aar	Zip archive data, at least v2.0 to extract									
15.3948	98973	16.4768	5896	92135	aar	Zip archive data, at least v2.0 to extract									
15.3953	98869	16.4768	5908	92135	aar	Zip archive data, at least v2.0 to extract									
15.6911	98321.5	17.3918	6730	173972	aar	Zip archive data, at least v2.0 to extract									
15.8363	95890	18.2366	20432	314305	aar	Zip archive data, at least v2.0 to extract									
15.786	95648.3	17.8796	9366	244854	aar	Zip archive data, at least v2.0 to extract									
15.3913	95594	16.4618	5288	91268	aar	Zip archive data, at least v2.0 to extract									
15.3914	95557	16.4621	5245	91268	aar	Zip archive data, at least v2.0 to extract									
15.3914	95509	16.4621	5225	91268	aar	Zip archive data, at least v2.0 to extract									
15.7873	95098	17.8819	8780	245030	aar	Zip archive data, at least v2.0 to extract									
15.6827	94622	17.3652	6119	170739	aar	Zip archive data, at least v2.0 to extract									
15.6818	94332	17.3569	6906	170013	aar	Zip archive data, at least v2.0 to extract									
15.6853	94254.5	17.3646	6129	170754	aar	Zip archive data, at least v2.0 to extract									
15.6792	92926	17.3476	7353	168727	aar	Zip archive data, at least v2.0 to extract									
15.6791	92924	17.3475	7385	168727	aar	Zip archive data, at least v2.0 to extract									
15.7747	92801	17.8211	18448	235348	aar	Zip archive data, at least v2.0 to extract									
15.6836	92795	17.3588	6330	170027	aar	Zip archive data, at least v2.0 to extract									
15.7713	92400	17.801	21692	232498	aar	Zip archive data, at least v2.0 to extract									
15.7693	92314.7	17.7967	20988	231777	aar	Zip archive data, at least v2.0 to extract									
15.6832	92151.5	17.3471	7285	168640	aar	Zip archive data, at least v2.0 to extract									
15.7779	92052.3	17.8221	18300	235349	aar	Zip archive data, at least v2.0 to extract									
15.8378	91727.8	18.2434	8629	315392	aar	Zip archive data, at least v2.0 to extract									
15.7701	91275	17.798	20182	231791	aar	Zip archive data, at least v2.0 to extract									
15.6823	91257	17.3396	7381	167853	aar	Zip archive data, at least v2.0 to extract									
15.7698	91228	17.7976	20735	231773	aar	Zip archive data, at least v2.0 to extract									
15.7701	91176	17.7979	20407	231793	aar	Zip archive data, at least v2.0 to extract									
15.6775	90174.5	17.3317	7205	166882	aar	Zip archive data, at least v2.0 to extract									
15.7749	89470	17.8107	15169	233419	aar	Zip archive data, at least v2.0 to extract									
15.7748	89320.7	17.8104	15176	233420	aar	Zip archive data, at least v2.0 to extract									
15.8323	88631.8	18.2142	9712	309150	aar	Zip archive data, at least v2.0 to extract									
15.8333	88628.8	18.2134	10242	309156	aar	Zip archive data, at least v2.0 to extract									
15.8343	88399.8	18.214	10072	309244	aar	Zip archive data, at least v2.0 to extract									
15.7763	88266.3	17.8109	15122	233420	aar	Zip archive data, at least v2.0 to extract									
15.8331	88216.8	18.2134	9730	309150	aar	Zip archive data, at least v2.0 to extract									
15.779	87891.3	17.8326	8557	236649	aar	Zip archive data, at least v2.0 to extract									
15.7655	86270.3	17.764	18723	226151	aar	Zip archive data, at least v2.0 to extract									
15.7787	86097	17.8283	7032	235824	aar	Zip archive data, at least v2.0 to extract									
15.7771	86092.3	17.8261	7414	235535	aar	Zip archive data, at least v2.0 to extract									
15.8645	86071.2	18.4926	11315	375688	aar	Zip archive data, at least v2.0 to extract									
15.6654	86013	17.297	7541	162887	aar	Zip archive data, at least v2.0 to extract									
15.6657	85988	17.2966	7180	162835	aar	Zip archive data, at least v2.0 to extract									
15.7783	85939.7	17.8268	7414	235552	aar	Zip archive data, at least v2.0 to extract									
15.8243	85916.3	18.1512	20411	296176	aar	Zip archive data, at least v2.0 to extract									
15.6681	85895.5	17.2962	7166	162834	aar	Zip archive data, at least v2.0 to extract									
15.7658	85853	17.7645	18566	226148	aar	Zip archive data, at least v2.0 to extract									
15.8245	85715.3	18.1511	20358	296136	aar	Zip archive data, at least v2.0 to extract									
15.8643	85300	18.49	10841	375079	aar	Zip archive data, at least v2.0 to extract									
15.7795	85222.3	17.8284	6936	235741	aar	Zip archive data, at least v2.0 to extract									
15.8645	85206.2	18.4905	10752	375062	aar	Zip archive data, at least v2.0 to extract									
15.7689	85124	17.765	18661	226320	aar	Zip archive data, at least v2.0 to extract									
15.8235	84515.5	18.1422	20472	294379	aar	Zip archive data, at least v2.0 to extract									
15.8234	84484.5	18.1418	20449	294303	aar	Zip archive data, at least v2.0 to extract									
15.8631	84308	18.4769	12005	371795	aar	Zip archive data, at least v2.0 to extract									
