Size	Entropy	Chi^2	Pi Error	Termination	Command
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
367	7.05935	346.5/374	0.140822	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
354	7.02347	333/374	0.158367	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
354	7.02347	333/374	0.158367	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
354	7.02347	333/374	0.158367	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
354	7.02347	333/374	0.158367	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
354	7.02347	333/374	0.158367	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
354	7.02347	333/374	0.158367	png	PNG image data, 74 x 98, 8-bit gray+alpha, non-interlaced
336	7.0033	359/374	0.124648	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
336	7.0033	359/374	0.124648	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
336	7.0033	359/374	0.124648	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
336	7.0033	359/374	0.124648	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
