Size	Entropy	Chi^2	Pi Error	Termination	Command
102240	7.99769	328.837/380	0.149903	aar	Zip archive data, at least v2.0 to extract
102469	7.99769	330.093/380	0.154168	aar	Zip archive data, at least v2.0 to extract
97243	7.99768	314.325/380	0.151174	aar	Zip archive data, at least v2.0 to extract
101426	7.99767	327.414/380	0.152316	aar	Zip archive data, at least v1.0 to extract
102194	7.99767	332.19/380	0.157901	aar	Zip archive data, at least v2.0 to extract
92962	7.99766	302.314/380	0.152064	aar	Zip archive data, at least v2.0 to extract
105775	7.99766	343.862/381	0.154135	aar	Zip archive data, at least v2.0 to extract
112573	7.99765	374.777/381	0.15347	aar	Zip archive data, at least v2.0 to extract
112573	7.99763	377.305/381	0.15347	aar	Zip archive data, at least v2.0 to extract
105732	7.99762	347.845/381	0.152005	aar	Zip archive data, at least v2.0 to extract
102286	7.9976	343.288/380	0.151311	aar	Zip archive data, at least v2.0 to extract
92135	7.99759	311.084/380	0.144029	aar	Zip archive data, at least v2.0 to extract
96311	7.99759	322.38/380	0.15235	aar	Zip archive data, at least v2.0 to extract
105784	7.99759	352.097/381	0.152907	aar	Zip archive data, at least v2.0 to extract
96679	7.99758	325.462/380	0.145787	aar	Zip archive data, at least v2.0 to extract
97049	7.99758	327.686/380	0.144509	aar	Zip archive data, at least v2.0 to extract
97154	7.99758	327.757/380	0.14331	aar	Zip archive data, at least v2.0 to extract
97154	7.99758	327.81/380	0.14331	aar	Zip archive data, at least v2.0 to extract
91268	7.99756	310.949/380	0.14272	aar	Zip archive data, at least v2.0 to extract
91268	7.99756	311.056/380	0.142636	aar	Zip archive data, at least v2.0 to extract
91268	7.99756	311.202/380	0.142678	aar	Zip archive data, at least v2.0 to extract
96136	7.99756	325.979/380	0.14871	aar	Zip archive data, at least v2.0 to extract
92135	7.99755	316.989/380	0.144195	aar	Zip archive data, at least v2.0 to extract
97318	7.99754	335.842/380	0.147393	aar	Zip archive data, at least v1.0 to extract
96072	7.99752	331.638/380	0.153453	aar	Zip archive data, at least v2.0 to extract
83923	7.99748	296.278/380	0.143072	aar	Zip archive data, at least v2.0 to extract
99045	7.99748	353.79/380	0.150441	aar	Zip archive data, at least v2.0 to extract
96016	7.99747	335.803/380	0.157791	aar	Zip archive data, at least v2.0 to extract
98093	7.99747	349.12/380	0.147695	aar	Zip archive data, at least v1.0 to extract
92992	7.99746	326.843/380	0.149298	aar	Zip archive data, at least v2.0 to extract
98665	7.99746	347.592/380	0.151445	aar	Zip archive data, at least v2.0 to extract
92963	7.99745	330.521/380	0.148407	aar	Zip archive data, at least v2.0 to extract
98544	7.99745	353.317/380	0.148796	aar	Zip archive data, at least v2.0 to extract
82571	7.99743	297.127/379	0.139809	aar	Zip archive data, at least v2.0 to extract
98990	7.99739	363.44/380	0.148588	aar	Zip archive data, at least v2.0 to extract
96319	7.99736	353.391/380	0.145965	aar	Zip archive data, at least v2.0 to extract
95689	7.99735	357.864/380	0.146769	aar	Zip archive data, at least v2.0 to extract
86941	7.99734	321.72/380	0.146941	aar	Zip archive data, at least v1.0 to extract
92202	7.99733	343.106/380	0.152927	aar	Zip archive data, at least v1.0 to extract
94872	7.99728	358.838/380	0.14504	aar	Zip archive data, at least v2.0 to extract
81652	7.99726	313.371/379	0.15437	aar	Zip archive data, at least v2.0 to extract
86427	7.99722	339.113/380	0.148168	aar	Zip archive data, at least v1.0 to extract
85064	7.99716	337.193/380	0.150066	aar	Zip archive data, at least v1.0 to extract
89042	7.99712	362.029/380	0.145654	aar	Zip archive data, at least v1.0 to extract
81663	7.99711	331.009/379	0.148336	aar	Zip archive data, at least v2.0 to extract
82661	7.99711	336.14/379	0.143149	aar	Zip archive data, at least v2.0 to extract
81664	7.9971	330.696/379	0.148321	aar	Zip archive data, at least v2.0 to extract
71090	7.99698	302.513/379	0.152409	aar	Zip archive data, at least v1.0 to extract
66105	7.99697	283.407/379	0.144124	aar	Zip archive data, at least v2.0 to extract
84966	7.99697	361.468/380	0.153347	aar	Zip archive data, at least v1.0 to extract
81703	7.99694	344.36/379	0.1484	aar	Zip archive data, at least v2.0 to extract
74876	7.99693	320.788/379	0.147263	aar	Zip archive data, at least v2.0 to extract
53301	7.99675	240.707/378	0.139899	gpg	GPG symmetrically encrypted data (AES256 cipher)
53301	7.99675	240.707/378	0.139899	gpg	GPG symmetrically encrypted data (AES256 cipher)
71896	7.99675	325.186/379	0.154538	woff2	Web Open Font Format (Version 2), TrueType, length 71896, version 4.393
66065	7.99673	300.105/379	0.149343	aar	Zip archive data, at least v2.0 to extract
74781	7.99668	346.62/379	0.151531	aar	Zip archive data, at least v2.0 to extract
74878	7.99668	348.781/379	0.146583	aar	Zip archive data, at least v2.0 to extract
76565	7.99661	362.371/379	0.152903	aar	Zip archive data, at least v2.0 to extract
76565	7.9966	363.248/379	0.152654	aar	Zip archive data, at least v2.0 to extract
76646	7.9966	363.358/379	0.152602	aar	Zip archive data, at least v2.0 to extract
69454	7.99659	330.996/379	0.148626	aar	Zip archive data, at least v2.0 to extract
67945	7.99659	331.408/379	0.152935	aar	Zip archive data, at least v1.0 to extract
76489	7.99658	365.279/379	0.152871	aar	Zip archive data, at least v2.0 to extract
74530	7.99657	358.495/379	0.147057	aar	Zip archive data, at least v2.0 to extract
74530	7.99656	359.567/379	0.146954	aar	Zip archive data, at least v2.0 to extract
72920	7.99653	357.472/379	0.143823	aar	Zip archive data, at least v1.0 to extract
72692	7.99647	375.979/379	0.151279	aar	Zip archive data, at least v2.0 to extract
65735	7.99644	332.668/379	0.14943	aar	Zip archive data, at least v2.0 to extract
69361	7.9964	351.441/379	0.14853	aar	Zip archive data, at least v2.0 to extract
72548	7.9964	370.311/379	0.150594	aar	Zip archive data, at least v1.0 to extract
72157	7.99639	370.167/379	0.154103	aar	Zip archive data, at least v1.0 to extract
60980	7.99638	311.42/378	0.150255	aar	Zip archive data, at least v2.0 to extract
73674	7.99638	373.164/379	0.150448	aar	Zip archive data, at least v2.0 to extract
60980	7.99635	313.63/378	0.150067	aar	Zip archive data, at least v2.0 to extract
66093	7.99633	340.725/379	0.155065	aar	Zip archive data, at least v2.0 to extract
72207	7.99629	374.216/379	0.149692	aar	Zip archive data, at least v1.0 to extract
60976	7.99627	321.193/378	0.147582	aar	Zip archive data, at least v2.0 to extract
58823	7.99616	319.052/378	0.153966	aar	Zip archive data, at least v2.0 to extract
66084	7.99612	359.395/379	0.151598	aar	Zip archive data, at least v2.0 to extract
60275	7.9961	334.464/378	0.151026	aar	Zip archive data, at least v2.0 to extract
56780	7.99607	315.774/378	0.146465	aar	Zip archive data, at least v2.0 to extract
57390	7.99604	319.482/378	0.153459	aar	Zip archive data, at least v2.0 to extract
65735	7.99604	375.449/379	0.151348	aar	Zip archive data, at least v2.0 to extract
60988	7.99599	346.647/378	0.143742	aar	Zip archive data, at least v2.0 to extract
58919	7.99595	335.422/378	0.148019	aar	Zip archive data, at least v2.0 to extract
58919	7.99594	336.509/378	0.148213	aar	Zip archive data, at least v2.0 to extract
57389	7.99593	327.996/378	0.148866	aar	Zip archive data, at least v2.0 to extract
58949	7.99593	339.978/378	0.148711	aar	Zip archive data, at least v1.0 to extract
60929	7.99593	362.752/378	0.146158	aar	Zip archive data, at least v2.0 to extract
60373	7.99592	355.204/378	0.147357	aar	Zip archive data, at least v2.0 to extract
60929	7.99591	364.609/378	0.146096	aar	Zip archive data, at least v2.0 to extract
55415	7.99583	319.254/378	0.152598	tgz	gzip compressed data, last modified
55415	7.99583	319.254/378	0.152598	tgz	gzip compressed data, last modified
55415	7.99583	319.254/378	0.152598	tgz	gzip compressed data, last modified
58630	7.99581	343.877/378	0.146765	aar	Zip archive data, at least v2.0 to extract
51395	7.9958	309.965/378	0.148672	aar	Zip archive data, at least v2.0 to extract
56970	7.99575	347.189/378	0.151174	aar	Zip archive data, at least v2.0 to extract
57551	7.99574	353.969/378	0.137258	aar	Zip archive data, at least v2.0 to extract
61042	7.99574	369.269/378	0.143373	aar	Zip archive data, at least v2.0 to extract
61042	7.99574	369.319/378	0.143561	aar	Zip archive data, at least v2.0 to extract
57627	7.9957	350.725/378	0.14481	aar	Zip archive data, at least v2.0 to extract
57557	7.9957	354.79/378	0.149094	aar	Zip archive data, at least v2.0 to extract
55960	7.99567	347.826/378	0.143119	aar	Zip archive data, at least v1.0 to extract
60240	7.99567	371.838/378	0.152104	aar	Zip archive data, at least v2.0 to extract
57725	7.99564	359.294/378	0.147997	aar	Zip archive data, at least v2.0 to extract
60320	7.99564	376.562/378	0.142984	aar	Zip archive data, at least v2.0 to extract
57515	7.99559	361.754/378	0.155911	aar	Zip archive data, at least v2.0 to extract
49763	7.99558	319.119/378	0.144393	aar	Zip archive data, at least v2.0 to extract
49383	7.99556	308.484/378	0.147616	aar	Zip archive data, at least v1.0 to extract
58264	7.99553	375.868/378	0.145339	aar	Zip archive data, at least v2.0 to extract
57197	7.99551	367.386/378	0.153756	aar	Zip archive data, at least v2.0 to extract
51610	7.99547	334.756/378	0.147128	aar	Zip archive data, at least v2.0 to extract
52868	7.99546	347.398/378	0.148693	aar	Zip archive data, at least v1.0 to extract
53115	7.99543	350.44/378	0.155081	aar	Zip archive data, at least v2.0 to extract
49677	7.99541	329.067/378	0.14797	aar	Zip archive data, at least v2.0 to extract
52876	7.99536	350.068/378	0.143492	aar	Zip archive data, at least v2.0 to extract
44836	7.99535	303.36/377	0.146233	aar	Zip archive data, at least v2.0 to extract
44300	7.99528	289.202/377	0.14942	woff2	Web Open Font Format (Version 2), TrueType, length 44300, version 1.720
44300	7.99528	289.202/377	0.14942	woff2	Web Open Font Format (Version 2), TrueType, length 44300, version 1.720
44300	7.99528	289.202/377	0.14942	woff2	Web Open Font Format (Version 2), TrueType, length 44300, version 1.720
52707	7.99524	361.605/378	0.142236	aar	Zip archive data, at least v2.0 to extract
51610	7.99523	345.632/378	0.143353	aar	Zip archive data, at least v2.0 to extract
51592	7.99518	359.074/378	0.147571	aar	Zip archive data, at least v2.0 to extract
49241	7.99514	342.245/378	0.155259	aar	Zip archive data, at least v2.0 to extract
52734	7.99514	371.112/378	0.153033	aar	Zip archive data, at least v2.0 to extract
49242	7.99511	350.261/378	0.150682	aar	Zip archive data, at least v2.0 to extract
52973	7.99506	377.908/378	0.148866	aar	Zip archive data, at least v1.0 to extract
46649	7.99504	332.511/377	0.149836	aar	Zip archive data, at least v2.0 to extract
44837	7.99502	324.371/377	0.147596	aar	Zip archive data, at least v2.0 to extract
49334	7.99489	362.428/378	0.150038	aar	Zip archive data, at least v2.0 to extract
49334	7.99487	363.917/378	0.149728	aar	Zip archive data, at least v2.0 to extract
49236	7.99477	371.782/378	0.145924	aar	Zip archive data, at least v2.0 to extract
47423	7.99473	357.897/378	0.146878	aar	Zip archive data, at least v2.0 to extract
47439	7.99467	365.173/378	0.144571	aar	Zip archive data, at least v2.0 to extract
47415	7.99466	365.227/378	0.14301	aar	Zip archive data, at least v2.0 to extract
46648	7.99464	359.011/377	0.146643	aar	Zip archive data, at least v2.0 to extract
44904	7.99461	346.023/377	0.152506	aar	Zip archive data, at least v2.0 to extract
44840	7.99415	373.749/377	0.142371	aar	Zip archive data, at least v2.0 to extract
39204	7.99401	349.124/377	0.154876	aar	Zip archive data, at least v2.0 to extract
32663	7.99237	365.457/377	0.135699	aar	Zip archive data, at least v2.0 to extract
32612	7.99229	367.543/377	0.137041	aar	Zip archive data, at least v2.0 to extract
28580	7.99209	343.766/376	0.138923	aar	Zip archive data, at least v2.0 to extract
22208	7.98968	318.256/376	0.160174	png	PNG image data, 150 x 225, 8-bit/color RGB, non-interlaced
19868	7.98949	297.325/376	0.155659	woff2	Web Open Font Format (Version 2), TrueType, length 19868, version 2.0
19868	7.98949	297.325/376	0.155659	woff2	Web Open Font Format (Version 2), TrueType, length 19868, version 2.0
19868	7.98949	297.325/376	0.155659	woff2	Web Open Font Format (Version 2), TrueType, length 19868, version 2.0
19508	7.989	299.5/376	0.164944	woff2	Web Open Font Format (Version 2), TrueType, length 19508, version 2.0
19508	7.989	299.5/376	0.164944	woff2	Web Open Font Format (Version 2), TrueType, length 19508, version 2.0
19508	7.989	299.5/376	0.164944	woff2	Web Open Font Format (Version 2), TrueType, length 19508, version 2.0
22128	7.98891	348.628/376	0.170219	png	PNG image data, 288 x 167, 8-bit/color RGB, non-interlaced
20967	7.98889	331.593/376	0.148866	png	PNG image data, 200 x 148, 8-bit/color RGBA, non-interlaced
19944	7.98842	324.026/376	0.157111	woff2	Web Open Font Format (Version 2), TrueType, length 19944, version 2.0
19944	7.98842	324.026/376	0.157111	woff2	Web Open Font Format (Version 2), TrueType, length 19944, version 2.0
19944	7.98842	324.026/376	0.157111	woff2	Web Open Font Format (Version 2), TrueType, length 19944, version 2.0
22887	7.98841	368.888/376	0.152676	png	PNG image data, 200 x 148, 8-bit/color RGBA, non-interlaced
21912	7.98806	368.824/376	0.153672	png	PNG image data, 200 x 148, 8-bit/color RGBA, non-interlaced
16374	7.98774	285.397/376	0.145031	gpg	GPG symmetrically encrypted data (AES256 cipher)
16374	7.98774	285.397/376	0.145031	gpg	GPG symmetrically encrypted data (AES256 cipher)
20777	7.9876	359.963/376	0.147007	png	PNG image data, 200 x 148, 8-bit/color RGBA, non-interlaced
14932	7.98741	263.828/375	0.152623	gz	"gzip compressed data, was ""protobuf.min.js"", last modified"
18349	7.98571	369.451/376	0.152214	png	PNG image data, 96 x 96, 8-bit/color RGBA, interlaced
16105	7.9851	348.177/376	0.157893	png	PNG image data, 171 x 115, 8-bit/color RGB, non-interlaced
13921	7.98406	309.87/375	0.141023	png	PNG image data, 160 x 111, 8-bit/color RGB, non-interlaced
13921	7.98406	309.87/375	0.141023	png	PNG image data, 160 x 111, 8-bit/color RGB, non-interlaced
13362	7.98125	355.923/375	0.145552	png	PNG image data, 482 x 40, 8-bit/color RGBA, non-interlaced
13362	7.98125	355.923/375	0.145552	png	PNG image data, 482 x 40, 8-bit/color RGBA, non-interlaced
13362	7.98125	355.923/375	0.145552	png	PNG image data, 482 x 40, 8-bit/color RGBA, non-interlaced
13362	7.98125	355.923/375	0.145552	png	PNG image data, 482 x 40, 8-bit/color RGBA, non-interlaced
12319	7.98109	325.521/375	0.166364	gz	"gzip compressed data, was ""protobuf-light.min.js"", last modified"
11807	7.97916	346.848/375	0.15829	png	PNG image data, 90 x 90, 8-bit/color RGBA, non-interlaced
11807	7.97916	346.848/375	0.15829	png	PNG image data, 90 x 90, 8-bit/color RGBA, non-interlaced
11807	7.97916	346.848/375	0.15829	png	PNG image data, 90 x 90, 8-bit/color RGBA, non-interlaced
11807	7.97916	346.848/375	0.15829	png	PNG image data, 90 x 90, 8-bit/color RGBA, non-interlaced
8658	7.97893	263.636/375	0.138821	gz	"gzip compressed data, was ""bytebuffer.min.js"", last modified"
10857	7.97776	340.262/375	0.152112	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
10857	7.97776	340.262/375	0.152112	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
10857	7.97776	340.262/375	0.152112	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
10857	7.97776	340.262/375	0.152112	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
10511	7.97707	333.537/375	0.178426	png	PNG image data, 200 x 157, 8-bit colormap, non-interlaced
7988	7.97678	256.258/375	0.15707	gz	"gzip compressed data, was ""bytebuffer-dataview.min.js"", last modified"
9574	7.97633	325.513/375	0.192259	png	PNG image data, 200 x 160, 8-bit colormap, non-interlaced
9390	7.97621	319.778/375	0.142902	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
9390	7.97621	319.778/375	0.142902	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
9348	7.97525	329.5/375	0.161934	gz	"gzip compressed data, was ""stacktrace.min.js"", last modified"
9348	7.97525	329.5/375	0.161934	gz	"gzip compressed data, was ""stacktrace.min.js"", last modified"
7374	7.97081	317.214/375	0.127173	png	PNG image data, 67 x 67, 8-bit/color RGBA, non-interlaced
7374	7.97081	317.214/375	0.127173	png	PNG image data, 67 x 67, 8-bit/color RGBA, non-interlaced
7374	7.97081	317.214/375	0.127173	png	PNG image data, 67 x 67, 8-bit/color RGBA, non-interlaced
7374	7.97081	317.214/375	0.127173	png	PNG image data, 67 x 67, 8-bit/color RGBA, non-interlaced
7556	7.96896	335.931/375	0.147298	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
7588	7.96895	333.242/375	0.154025	png	PNG image data, 252 x 39, 8-bit/color RGBA, non-interlaced
7453	7.96885	339.276/375	0.135632	png	PNG image data, 80 x 80, 8-bit/color RGBA, non-interlaced
7989	7.96808	359.774/375	0.14703	png	PNG image data, 162 x 99, 8-bit/color RGBA, non-interlaced
7989	7.96808	359.774/375	0.14703	png	PNG image data, 162 x 99, 8-bit/color RGBA, non-interlaced
7989	7.96808	359.774/375	0.14703	png	PNG image data, 162 x 99, 8-bit/color RGBA, non-interlaced
7989	7.96808	359.774/375	0.14703	png	PNG image data, 162 x 99, 8-bit/color RGBA, non-interlaced
7702	7.96776	354.067/375	0.175964	png	PNG image data, 215 x 28, 8-bit/color RGBA, non-interlaced
8010	7.96759	363.161/375	0.165957	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
8010	7.96759	363.161/375	0.165957	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
8010	7.96759	363.161/375	0.165957	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
8010	7.96759	363.161/375	0.165957	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
7407	7.96681	369.464/375	0.141891	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
7407	7.96681	369.464/375	0.141891	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
6387	7.96651	328.458/375	0.159746	png	PNG image data, 113 x 66, 8-bit/color RGBA, non-interlaced
6387	7.96651	328.458/375	0.159746	png	PNG image data, 113 x 66, 8-bit/color RGBA, non-interlaced
6387	7.96651	328.458/375	0.159746	png	PNG image data, 113 x 66, 8-bit/color RGBA, non-interlaced
6387	7.96651	328.458/375	0.159746	png	PNG image data, 113 x 66, 8-bit/color RGBA, non-interlaced
6823	7.96606	346.731/375	0.119086	png	PNG image data, 92 x 108, 8-bit/color RGBA, non-interlaced
6823	7.96606	346.731/375	0.119086	png	PNG image data, 92 x 108, 8-bit/color RGBA, non-interlaced
6823	7.96606	346.731/375	0.119086	png	PNG image data, 92 x 108, 8-bit/color RGBA, non-interlaced
6823	7.96606	346.731/375	0.119086	png	PNG image data, 92 x 108, 8-bit/color RGBA, non-interlaced
6634	7.96483	346.8/375	0.188972	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
6634	7.96483	346.8/375	0.188972	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
6810	7.96447	353.231/375	0.155848	png	PNG image data, 100 x 91, 8-bit/color RGBA, non-interlaced
6919	7.96413	372.482/375	0.160004	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
6919	7.96413	372.482/375	0.160004	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
6919	7.96413	372.482/375	0.160004	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
6919	7.96413	372.482/375	0.160004	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
6520	7.96303	327.6/375	0.165425	png	PNG image data, 58 x 58, 8-bit/color RGBA, non-interlaced
6282	7.96255	338.417/375	0.181576	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
6282	7.96255	338.417/375	0.181576	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
6588	7.96076	372.88/375	0.164509	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
6588	7.96076	372.88/375	0.164509	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
6439	7.96074	360.76/375	0.181023	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
6439	7.96074	360.76/375	0.181023	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
6439	7.96074	360.76/375	0.181023	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
6439	7.96074	360.76/375	0.181023	png	PNG image data, 103 x 103, 8-bit/color RGBA, non-interlaced
5978	7.96032	342.609/375	0.141378	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
5978	7.96032	342.609/375	0.141378	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
5634	7.95798	349.182/375	0.191852	png	PNG image data, 122 x 122, 8-bit gray+alpha, non-interlaced
5634	7.95798	349.182/375	0.191852	png	PNG image data, 122 x 122, 8-bit gray+alpha, non-interlaced
5634	7.95798	349.182/375	0.191852	png	PNG image data, 122 x 122, 8-bit gray+alpha, non-interlaced
5634	7.95798	349.182/375	0.191852	png	PNG image data, 122 x 122, 8-bit gray+alpha, non-interlaced
6156	7.95778	368.75/375	0.17165	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
6156	7.95778	368.75/375	0.17165	png	PNG image data, 64 x 64, 8-bit/color RGBA, non-interlaced
5502	7.95743	330.857/375	0.152331	png	PNG image data, 150 x 53, 8-bit/color RGBA, non-interlaced
6199	7.95731	368.291/375	0.14255	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
6199	7.95731	368.291/375	0.14255	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
6199	7.95731	368.291/375	0.14255	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
6199	7.95731	368.291/375	0.14255	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
4181	7.9559	257.938/375	0.152391	gz	gzip compressed data, max compression, from TOPS/20, original size 13660
5458	7.95559	344.095/375	0.164699	png	PNG image data, 200 x 53, 8-bit/color RGBA, non-interlaced
5703	7.95529	367.863/375	0.154076	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
5703	7.95529	367.863/375	0.154076	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
5703	7.95529	367.863/375	0.154076	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
5703	7.95529	367.863/375	0.154076	png	PNG image data, 96 x 96, 8-bit/color RGBA, non-interlaced
4988	7.95486	333.684/375	0.167762	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
4988	7.95486	333.684/375	0.167762	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
4988	7.95486	333.684/375	0.167762	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
4988	7.95486	333.684/375	0.167762	png	PNG image data, 86 x 86, 8-bit/color RGBA, non-interlaced
4408	7.95305	294.588/375	0.150307	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
4408	7.95305	294.588/375	0.150307	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
4096	7.95263	258.625/375	0.137814	tgz	gzip compressed data, from Unix, original size 328327252
4096	7.95263	258.625/375	0.137814	tgz	gzip compressed data, from Unix, original size 328327252
4096	7.95263	258.625/375	0.137814	tgz	gzip compressed data, from Unix, original size 328327252
4096	7.95263	258.625/375	0.137814	tgz	gzip compressed data, from Unix, original size 328327252
4549	7.95061	341.588/375	0.152293	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
4549	7.95061	341.588/375	0.152293	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
4549	7.95061	341.588/375	0.152293	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
4549	7.95061	341.588/375	0.152293	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
4494	7.95016	337.412/375	0.174689	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4494	7.95016	337.412/375	0.174689	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4494	7.95016	337.412/375	0.174689	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4494	7.95016	337.412/375	0.174689	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4953	7.94945	355.211/375	0.171739	png	PNG image data, 104 x 120, 8-bit colormap, non-interlaced
4752	7.94874	350.556/375	0.155193	png	PNG image data, 120 x 120, 8-bit/color RGBA, non-interlaced
4510	7.94856	359.177/375	0.160204	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4510	7.94856	359.177/375	0.160204	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4510	7.94856	359.177/375	0.160204	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4510	7.94856	359.177/375	0.160204	png	PNG image data, 140 x 86, 8-bit/color RGBA, non-interlaced
4541	7.94817	351.353/375	0.147249	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
4541	7.94817	351.353/375	0.147249	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
4541	7.94817	351.353/375	0.147249	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
4541	7.94817	351.353/375	0.147249	png	PNG image data, 122 x 75, 8-bit/color RGBA, non-interlaced
3983	7.94737	327.134/375	0.151493	png	PNG image data, 48 x 48, 8-bit/color RGBA, non-interlaced
4018	7.94532	340/375	0.140088	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
4018	7.94532	340/375	0.140088	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
4018	7.94532	340/375	0.140088	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
4694	7.94501	369.889/375	0.172598	png	PNG image data, 141 x 184, 8-bit/color RGBA, non-interlaced
4694	7.94501	369.889/375	0.172598	png	PNG image data, 141 x 184, 8-bit/color RGBA, non-interlaced
4694	7.94501	369.889/375	0.172598	png	PNG image data, 141 x 184, 8-bit/color RGBA, non-interlaced
4694	7.94501	369.889/375	0.172598	png	PNG image data, 141 x 184, 8-bit/color RGBA, non-interlaced
3966	7.94487	317.6/375	0.186167	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
3966	7.94487	317.6/375	0.186167	png	PNG image data, 72 x 72, 8-bit/color RGBA, non-interlaced
4031	7.94483	332.867/375	0.167279	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
3768	7.94476	313.286/375	0.157594	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3768	7.94476	313.286/375	0.157594	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3768	7.94476	313.286/375	0.157594	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
3768	7.94476	313.286/375	0.157594	png	PNG image data, 57 x 57, 8-bit/color RGBA, non-interlaced
4730	7.94465	372.889/375	0.146598	png	PNG image data, 228 x 49, 8-bit/color RGBA, non-interlaced
4044	7.94439	344.134/375	0.142358	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
4044	7.94439	344.134/375	0.142358	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
4044	7.94439	344.134/375	0.142358	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
4044	7.94439	344.134/375	0.142358	png	PNG image data, 45 x 45, 8-bit/color RGBA, non-interlaced
4169	7.94429	329.313/375	0.136212	png	PNG image data, 104 x 35, 8-bit/color RGBA, non-interlaced
4169	7.94429	329.313/375	0.136212	png	PNG image data, 104 x 35, 8-bit/color RGBA, non-interlaced
4169	7.94429	329.313/375	0.136212	png	PNG image data, 104 x 35, 8-bit/color RGBA, non-interlaced
4169	7.94429	329.313/375	0.136212	png	PNG image data, 104 x 35, 8-bit/color RGBA, non-interlaced
