Chi^2;Size;Entropy;Termination
442.8;1483;7.83788;png
414.05;5307;7.95093;png
423.667;659;7.46676;png
384;106;5.57034;png
417;125;5.69404;png
396.572;1852;7.86289;png
412.6;1322;7.78588;png
430;3342;7.91989;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
371.5;449;7.35692;png
382;384;7.10867;png
420;138;5.93661;png
404;145;5.95323;png
437;146;5.96402;png
413.334;726;7.59297;png
381.001;745;7.65363;png
448.75;1051;7.72569;png
423;1142;7.75806;png
408.913;6013;7.95217;png
419.75;971;7.6659;png
302;2674;7.92407;png
310.445;2360;7.90913;png
356.5;2669;7.91008;png
387.417;3207;7.91946;png
406.5;431;7.30409;png
387;147;6.08586;png
400.001;803;7.67766;png
382;402;7.23769;png
393.666;1538;7.8327;png
340;4018;7.94533;png
444.875;2055;7.86094;png
330;294;6.79024;png
411.334;874;7.68099;png
408.714;1845;7.85599;png
367.863;5703;7.9553;png
413.334;2558;7.90425;png
349.5;2082;7.88341;png
351;354;7.06739;png
293.5;409;7.27815;png
357.001;699;7.58136;png
331;344;6.99122;png
365.5;505;7.4414;png
393.5;2210;7.89486;png
436;2074;7.87014;png
353.5;541;7.48458;png
354.668;708;7.62584;png
321.833;1637;7.86928;png
387;108;5.56319;png
365;2068;7.88669;png
417.194;8005;7.96313;png
402.75;1099;7.77003;png
407.5;1090;7.76883;png
355.923;13362;7.98125;png
429;167;6.28809;png
426;169;6.37137;png
428.333;1750;7.85578;png
435.714;1954;7.86999;png
380.91;2980;7.91916;png
379.832;1533;7.83209;png
430;3342;7.91989;png
420.6;1278;7.7719;png
438.5;2260;7.88452;png
413.25;1119;7.7527;png
388.001;738;7.61429;png
375.334;790;7.69313;png
426;108;5.53954;png
443.334;873;7.71748;png
395.059;4498;7.94321;png
400.934;3934;7.93111;png
444.563;4291;7.93065;png
377.286;1975;7.88612;png
404.556;2525;7.90583;png
361.4;2608;7.9084;png
405.063;4161;7.93666;png
377.833;6272;7.95867;png
444.5;465;7.33694;png
417;129;5.77686;png
413;133;5.87138;png
374;133;5.92013;png
432;139;5.85665;png
386.8;1313;7.7985;png
446;1040;7.72296;png
434.769;3564;7.92272;png
385;3353;7.92247;png
449;3674;7.92363;png
314.429;3756;7.94358;png
384.286;1886;7.86729;png
355.6;1456;7.8516;png
362;2522;7.91447;png
393.111;2540;7.91103;png
407;124;5.75284;png
396.571;7384;7.96367;png
368.334;732;7.65464;png
407.334;696;7.5354;png
436.333;1704;7.84042;png
399.668;820;7.70079;png
327.8;3875;7.94146;png
334.917;3213;7.932;png
424.25;1205;7.81624;png
401.5;353;7.02527;png
377.5;399;7.22166;png
357.615;3499;7.93088;png
373.5;545;7.55286;png
383;2172;7.88629;png
394.471;4486;7.94321;png
412.875;2069;7.8692;png
298.5;517;7.54014;png
342.5;489;7.46986;png
270;422;7.38543;png
438.001;882;7.68547;png
339.857;1797;7.86899;png
433.832;1541;7.81507;png
429;350;6.94053;png
415.5;1234;7.82442;png
445;424;7.21865;png
395;109;5.50017;png
430;112;5.59295;png
391.412;4388;7.94327;png
411.499;1623;7.84309;png
412.418;3075;7.91263;png
439.5;197;5.88649;png
359.774;7989;7.96808;png
403.7;2575;7.89232;png
372.25;1045;7.74676;png
413;568;7.47995;png
428.667;887;7.67037;png
337.556;2448;7.91002;png
413;2074;7.86957;png
433.25;1057;7.73494;png
442.8;1483;7.83788;png
414.05;5307;7.95093;png
423.667;659;7.46676;png
384;106;5.57034;png
417;125;5.69404;png
396.572;1852;7.86289;png
363.857;1919;7.88283;png
311.5;467;7.41368;png
400.5;513;7.40155;png
397;192;5.8099;png
397;192;5.8099;png
397;192;5.8099;png
397;192;5.8099;png
397;192;5.8099;png
416;144;6.00859;png
436;192;6.50349;png
439;146;5.93662;png
446;145;6.06596;png
445;2048;7.86345;png
423.334;715;7.57057;png
438.75;1115;7.75197;png
386.291;6341;7.95945;png
393.882;4372;7.93617;png
